y_true,y_pred,y_prob,auc
1,1,0.5173084,0.7902199074074074
1,0,0.3908172,0.7902199074074074
0,0,0.47029623,0.7902199074074074
0,0,0.48497656,0.7902199074074074
0,0,0.46951377,0.7902199074074074
0,0,0.48558703,0.7902199074074074
1,0,0.3886703,0.7902199074074074
1,0,0.40705684,0.7902199074074074
1,0,0.46774203,0.7902199074074074
1,0,0.4817923,0.7902199074074074
1,0,0.46537846,0.7902199074074074
0,1,0.50313085,0.7902199074074074
1,0,0.3820614,0.7902199074074074
0,1,0.5071184,0.7902199074074074
0,0,0.464527,0.7902199074074074
1,0,0.39272043,0.7902199074074074
1,0,0.40449208,0.7902199074074074
0,0,0.4622561,0.7902199074074074
0,1,0.5145957,0.7902199074074074
0,0,0.46270627,0.7902199074074074
1,0,0.3999306,0.7902199074074074
1,0,0.43726984,0.7902199074074074
0,0,0.4886566,0.7902199074074074
0,0,0.4875102,0.7902199074074074
0,1,0.5031043,0.7902199074074074
1,0,0.40496254,0.7902199074074074
0,0,0.47146946,0.7902199074074074
1,0,0.39841792,0.7902199074074074
0,0,0.49079826,0.7902199074074074
0,1,0.5074993,0.7902199074074074
1,0,0.46169573,0.7902199074074074
0,0,0.49248368,0.7902199074074074
1,0,0.48524335,0.7902199074074074
0,0,0.49672672,0.7902199074074074
1,0,0.39187306,0.7902199074074074
0,0,0.48083636,0.7902199074074074
0,1,0.52877206,0.7902199074074074
0,0,0.49676517,0.7902199074074074
0,0,0.46784383,0.7902199074074074
1,0,0.49344736,0.7902199074074074
0,0,0.47921216,0.7902199074074074
0,1,0.5200606,0.7902199074074074
0,0,0.4849012,0.7902199074074074
0,1,0.501772,0.7902199074074074
0,0,0.48389018,0.7902199074074074
1,0,0.49184474,0.7902199074074074
0,0,0.4869269,0.7902199074074074
0,0,0.49374095,0.7902199074074074
0,1,0.5026128,0.7902199074074074
0,1,0.512752,0.7902199074074074
1,0,0.4017001,0.7902199074074074
1,0,0.44966635,0.7902199074074074
0,1,0.5080536,0.7902199074074074
1,0,0.47720325,0.7902199074074074
1,0,0.38039884,0.7902199074074074
0,1,0.5193521,0.7902199074074074
1,0,0.4740613,0.7902199074074074
1,0,0.4343168,0.7902199074074074
1,0,0.40804726,0.7902199074074074
1,1,0.616793,0.7902199074074074
0,0,0.4906638,0.7902199074074074
1,1,0.53556836,0.7902199074074074
0,0,0.46931,0.7902199074074074
0,1,0.5096865,0.7902199074074074
1,0,0.4166265,0.7902199074074074
1,0,0.38026273,0.7902199074074074
0,1,0.5080389,0.7902199074074074
0,1,0.53063977,0.7902199074074074
1,1,0.505204,0.7902199074074074
1,0,0.45203787,0.7902199074074074
0,0,0.4961229,0.7902199074074074
1,0,0.39734256,0.7902199074074074
1,0,0.48560676,0.7902199074074074
