model_type,params,avg_accuracy
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.69375
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6718749999999999
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6760416666666667
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6822916666666667
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.653125
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6916666666666667
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6302083333333333
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6937499999999999
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.653125
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6854166666666666
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.690625
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6583333333333333
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6937500000000001
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6489583333333333
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6541666666666667
ConcatFusion,"{'lr': 0.0001, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6749999999999999
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7208333333333334
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6708333333333334
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6604166666666667
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6875
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6875000000000001
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6916666666666667
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6791666666666667
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6833333333333333
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.69375
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6791666666666666
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7083333333333333
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.68125
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6895833333333334
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6979166666666667
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6760416666666667
ConcatFusion,"{'lr': 0.0003, 'weight_decay': 0.0001, 'batch_size': 32, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.6770833333333333
GateOnlyFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.68125
GateOnlyFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.0, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7114583333333333
GateOnlyFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.7260416666666666
GateOnlyFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 16, 'label_smoothing': 0.1, 'noise_std': 0.05, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.70625
GateOnlyFusion,"{'lr': 0.0001, 'weight_decay': 0, 'batch_size': 32, 'label_smoothing': 0.0, 'noise_std': 0.0, 'scheduler_factor': 0.5, 'early_stop_patience': 10}",0.68125
